composite | 2023-02-03 2023-02-03 04:52:00 Buy: No option snapshot (expiry=2023-02-09, spot=17688.65)
composite | 2023-02-03 2023-02-03 04:53:00 Buy: No option snapshot (expiry=2023-02-09, spot=17675.75)
composite | 2023-02-03 2023-02-03 04:54:00 Buy: No option snapshot (expiry=2023-02-09, spot=17668.15)
composite | 2023-02-03 2023-02-03 05:07:00 Sell: No option snapshot (expiry=2023-02-09, spot=17630.25)
composite | 2023-02-03 2023-02-03 05:14:00 Sell: No option snapshot (expiry=2023-02-09, spot=17614.0)
composite | 2023-02-03 2023-02-03 05:15:00 Sell: No option snapshot (expiry=2023-02-09, spot=17611.5)
composite | 2023-02-03 2023-02-03 05:21:00 Sell: No option snapshot (expiry=2023-02-09, spot=17593.15)
composite | 2023-02-03 2023-02-03 05:23:00 Sell: No option snapshot (expiry=2023-02-09, spot=17603.75)
composite | 2023-02-03 2023-02-03 05:24:00 Buy: No option snapshot (expiry=2023-02-09, spot=17633.35)
composite | 2023-02-03 2023-02-03 05:25:00 Buy: No option snapshot (expiry=2023-02-09, spot=17623.85)
composite | 2023-02-03 2023-02-03 05:26:00 Buy: No option snapshot (expiry=2023-02-09, spot=17633.5)
composite | 2023-02-03 2023-02-03 05:27:00 Buy: No option snapshot (expiry=2023-02-09, spot=17632.65)
composite | 2023-02-03 2023-02-03 05:28:00 Buy: No option snapshot (expiry=2023-02-09, spot=17645.65)
composite | 2023-02-03 2023-02-03 05:29:00 Buy: No option snapshot (expiry=2023-02-09, spot=17655.5)
composite | 2023-02-03 2023-02-03 05:30:00 Buy: No option snapshot (expiry=2023-02-09, spot=17651.15)
composite | 2023-02-03 2023-02-03 05:31:00 Buy: No option snapshot (expiry=2023-02-09, spot=17647.95)
composite | 2023-02-03 2023-02-03 05:32:00 Buy: No option snapshot (expiry=2023-02-09, spot=17649.4)
composite | 2023-02-03 2023-02-03 05:33:00 Buy: No option snapshot (expiry=2023-02-09, spot=17644.2)
composite | 2023-02-03 2023-02-03 05:34:00 Buy: No option snapshot (expiry=2023-02-09, spot=17635.0)
composite | 2023-02-03 2023-02-03 05:35:00 Buy: No option snapshot (expiry=2023-02-09, spot=17639.15)
composite | 2023-02-03 2023-02-03 05:36:00 Buy: No option snapshot (expiry=2023-02-09, spot=17641.55)
composite | 2023-02-03 2023-02-03 05:37:00 Buy: No option snapshot (expiry=2023-02-09, spot=17643.45)
composite | 2023-02-03 2023-02-03 05:38:00 Buy: No option snapshot (expiry=2023-02-09, spot=17637.8)
composite | 2023-02-03 2023-02-03 05:39:00 Buy: No option snapshot (expiry=2023-02-09, spot=17629.55)
composite | 2023-02-03 2023-02-03 05:41:00 Buy: No option snapshot (expiry=2023-02-09, spot=17628.15)
composite | 2023-02-03 2023-02-03 05:42:00 Buy: No option snapshot (expiry=2023-02-09, spot=17633.3)
composite | 2023-02-03 2023-02-03 05:52:00 Buy: No option snapshot (expiry=2023-02-09, spot=17642.25)
composite | 2023-02-03 2023-02-03 05:53:00 Buy: No option snapshot (expiry=2023-02-09, spot=17636.45)
composite | 2023-02-03 2023-02-03 05:54:00 Buy: No option snapshot (expiry=2023-02-09, spot=17631.1)
composite | 2023-02-03 2023-02-03 06:02:00 Sell: No option snapshot (expiry=2023-02-09, spot=17605.95)
composite | 2023-02-03 2023-02-03 06:09:00 Sell: No option snapshot (expiry=2023-02-09, spot=17606.75)
composite | 2023-02-03 2023-02-03 06:11:00 Buy: No option snapshot (expiry=2023-02-09, spot=17629.6)
composite | 2023-02-03 2023-02-03 06:12:00 Buy: No option snapshot (expiry=2023-02-09, spot=17622.45)
composite | 2023-02-03 2023-02-03 06:13:00 Buy: No option snapshot (expiry=2023-02-09, spot=17623.45)
composite | 2023-02-03 2023-02-03 06:14:00 Buy: No option snapshot (expiry=2023-02-09, spot=17630.7)
composite | 2023-02-03 2023-02-03 06:15:00 Buy: No option snapshot (expiry=2023-02-09, spot=17621.6)
